EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,SW_H_SPEED_km/s
 2008-11-20T00:00:00.000Z,291.900
 2008-11-20T01:00:00.000Z,287.150
 2008-11-20T02:00:00.000Z,284.590
 2008-11-20T03:00:00.000Z,292.130
 2008-11-20T04:00:00.000Z,288.270
 2008-11-20T05:00:00.000Z,287.720
 2008-11-20T06:00:00.000Z,284.650
 2008-11-20T07:00:00.000Z,284.930
 2008-11-20T08:00:00.000Z,288.940
 2008-11-20T09:00:00.000Z,295.440
 2008-11-20T10:00:00.000Z,293.790
 2008-11-20T11:00:00.000Z,289.830
 2008-11-20T12:00:00.000Z,290.740
 2008-11-20T13:00:00.000Z,293.920
 2008-11-20T14:00:00.000Z,297.710
 2008-11-20T15:00:00.000Z,292.760
 2008-11-20T16:00:00.000Z,296.940
 2008-11-20T17:00:00.000Z,309.810
 2008-11-20T18:00:00.000Z,304.000
 2008-11-20T19:00:00.000Z,310.980
 2008-11-20T20:00:00.000Z,311.990
 2008-11-20T21:00:00.000Z,308.540
 2008-11-20T22:00:00.000Z,302.640
 2008-11-20T23:00:00.000Z,302.550
 2008-11-21T00:00:00.000Z,307.080
 2008-11-21T01:00:00.000Z,309.320
 2008-11-21T02:00:00.000Z,324.500
 2008-11-21T03:00:00.000Z,331.880
 2008-11-21T04:00:00.000Z,326.110
 2008-11-21T05:00:00.000Z,326.400
 2008-11-21T06:00:00.000Z,324.620
 2008-11-21T07:00:00.000Z,321.390
 2008-11-21T08:00:00.000Z,317.380
 2008-11-21T09:00:00.000Z,317.010
 2008-11-21T10:00:00.000Z,312.080
 2008-11-21T11:00:00.000Z,307.980
 2008-11-21T12:00:00.000Z,307.950
 2008-11-21T13:00:00.000Z,306.450
 2008-11-21T14:00:00.000Z,296.250
 2008-11-21T15:00:00.000Z,294.500
 2008-11-21T16:00:00.000Z,292.020
 2008-11-21T17:00:00.000Z,291.250
 2008-11-21T18:00:00.000Z,285.520
 2008-11-21T19:00:00.000Z,284.020
 2008-11-21T20:00:00.000Z,279.590
 2008-11-21T21:00:00.000Z,281.340
 2008-11-21T22:00:00.000Z,278.700
 2008-11-21T23:00:00.000Z,271.610
 2008-11-22T00:00:00.000Z,272.730
 2008-11-22T01:00:00.000Z,273.680
 2008-11-22T02:00:00.000Z,280.980
 2008-11-22T03:00:00.000Z,290.860
 2008-11-22T04:00:00.000Z,289.770
 2008-11-22T05:00:00.000Z,285.130
 2008-11-22T06:00:00.000Z,283.090
 2008-11-22T07:00:00.000Z,281.390
 2008-11-22T08:00:00.000Z,276.760
 2008-11-22T09:00:00.000Z,281.990
 2008-11-22T10:00:00.000Z,283.430
 2008-11-22T11:00:00.000Z,282.420
 2008-11-22T12:00:00.000Z,277.500
 2008-11-22T13:00:00.000Z,275.890
 2008-11-22T14:00:00.000Z,277.460
 2008-11-22T15:00:00.000Z,272.400
 2008-11-22T16:00:00.000Z,276.450
 2008-11-22T17:00:00.000Z,281.930
 2008-11-22T18:00:00.000Z,282.270
 2008-11-22T19:00:00.000Z,281.240
 2008-11-22T20:00:00.000Z,283.530
 2008-11-22T21:00:00.000Z,285.260
 2008-11-22T22:00:00.000Z,285.570
 2008-11-22T23:00:00.000Z,284.120
 2008-11-23T00:00:00.000Z,291.560
 2008-11-23T01:00:00.000Z,292.680
 2008-11-23T02:00:00.000Z,293.640
 2008-11-23T03:00:00.000Z,294.200
 2008-11-23T04:00:00.000Z,297.030
 2008-11-23T05:00:00.000Z,296.630
 2008-11-23T06:00:00.000Z,292.180
 2008-11-23T07:00:00.000Z,292.600
 2008-11-23T08:00:00.000Z,293.470
 2008-11-23T09:00:00.000Z,292.910
 2008-11-23T10:00:00.000Z,295.150
 2008-11-23T11:00:00.000Z,291.740
 2008-11-23T12:00:00.000Z,291.000
 2008-11-23T13:00:00.000Z,289.020
 2008-11-23T14:00:00.000Z,286.440
 2008-11-23T15:00:00.000Z,285.780
 2008-11-23T16:00:00.000Z,285.470
 2008-11-23T17:00:00.000Z,280.850
 2008-11-23T18:00:00.000Z,279.070
 2008-11-23T19:00:00.000Z,278.430
 2008-11-23T20:00:00.000Z,276.240
 2008-11-23T21:00:00.000Z,275.350
 2008-11-23T22:00:00.000Z,272.630
 2008-11-23T23:00:00.000Z,269.850
 2008-11-24T00:00:00.000Z,273.860
 2008-11-24T01:00:00.000Z,275.540
 2008-11-24T02:00:00.000Z,276.320
 2008-11-24T03:00:00.000Z,276.500
 2008-11-24T04:00:00.000Z,274.260
 2008-11-24T05:00:00.000Z,273.350
 2008-11-24T06:00:00.000Z,273.110
 2008-11-24T07:00:00.000Z,273.190
 2008-11-24T08:00:00.000Z,271.690
 2008-11-24T09:00:00.000Z,271.380
 2008-11-24T10:00:00.000Z,271.590
 2008-11-24T11:00:00.000Z,270.500
 2008-11-24T12:00:00.000Z,269.170
 2008-11-24T13:00:00.000Z,267.050
 2008-11-24T14:00:00.000Z,266.160
 2008-11-24T15:00:00.000Z,265.910
 2008-11-24T16:00:00.000Z,265.360
 2008-11-24T17:00:00.000Z,268.970
 2008-11-24T18:00:00.000Z,268.510
 2008-11-24T19:00:00.000Z,267.960
 2008-11-24T20:00:00.000Z,265.300
 2008-11-24T21:00:00.000Z,262.380
 2008-11-24T22:00:00.000Z,276.540
 2008-11-24T23:00:00.000Z,325.960
 2008-11-25T00:00:00.000Z,343.930
 2008-11-25T01:00:00.000Z,351.910
 2008-11-25T02:00:00.000Z,358.330
 2008-11-25T03:00:00.000Z,373.100
 2008-11-25T04:00:00.000Z,406.090
 2008-11-25T05:00:00.000Z,433.090
 2008-11-25T06:00:00.000Z,457.590
 2008-11-25T07:00:00.000Z,493.260
 2008-11-25T08:00:00.000Z,499.400
 2008-11-25T09:00:00.000Z,523.340
 2008-11-25T10:00:00.000Z,560.600
 2008-11-25T11:00:00.000Z,590.490
 2008-11-25T12:00:00.000Z,593.540
 2008-11-25T13:00:00.000Z,575.720
 2008-11-25T14:00:00.000Z,570.800
 2008-11-25T15:00:00.000Z,572.100
 2008-11-25T16:00:00.000Z,561.370
 2008-11-25T17:00:00.000Z,568.130
 2008-11-25T18:00:00.000Z,584.700
 2008-11-25T19:00:00.000Z,572.360
 2008-11-25T20:00:00.000Z,567.890
 2008-11-25T21:00:00.000Z,582.400
 2008-11-25T22:00:00.000Z,586.710
 2008-11-25T23:00:00.000Z,591.970
 2008-11-26T00:00:00.000Z,593.470
 2008-11-26T01:00:00.000Z,587.240
 2008-11-26T02:00:00.000Z,567.530
 2008-11-26T03:00:00.000Z,585.540
 2008-11-26T04:00:00.000Z,628.040
 2008-11-26T05:00:00.000Z,605.130
 2008-11-26T06:00:00.000Z,596.840
 2008-11-26T07:00:00.000Z,590.310
 2008-11-26T08:00:00.000Z,581.500
 2008-11-26T09:00:00.000Z,577.850
 2008-11-26T10:00:00.000Z,563.950
 2008-11-26T11:00:00.000Z,564.330
 2008-11-26T12:00:00.000Z,562.380
 2008-11-26T13:00:00.000Z,570.420
 2008-11-26T14:00:00.000Z,576.830
 2008-11-26T15:00:00.000Z,596.520
 2008-11-26T16:00:00.000Z,615.710
 2008-11-26T17:00:00.000Z,614.240
 2008-11-26T18:00:00.000Z,617.770
 2008-11-26T19:00:00.000Z,623.990
 2008-11-26T20:00:00.000Z,626.050
 2008-11-26T21:00:00.000Z,643.790
 2008-11-26T22:00:00.000Z,640.310
 2008-11-26T23:00:00.000Z,627.120
 2008-11-27T00:00:00.000Z,621.060
 2008-11-27T01:00:00.000Z,616.420
 2008-11-27T02:00:00.000Z,609.160
 2008-11-27T03:00:00.000Z,595.760
 2008-11-27T04:00:00.000Z,588.140
 2008-11-27T05:00:00.000Z,587.400
 2008-11-27T06:00:00.000Z,584.220
 2008-11-27T07:00:00.000Z,564.250
 2008-11-27T08:00:00.000Z,553.370
 2008-11-27T09:00:00.000Z,568.910
 2008-11-27T10:00:00.000Z,565.070
 2008-11-27T11:00:00.000Z,568.670
 2008-11-27T12:00:00.000Z,554.310
 2008-11-27T13:00:00.000Z,547.470
 2008-11-27T14:00:00.000Z,561.790
 2008-11-27T15:00:00.000Z,522.080
 2008-11-27T16:00:00.000Z,506.810
 2008-11-27T17:00:00.000Z,523.820
 2008-11-27T18:00:00.000Z,506.270
 2008-11-27T19:00:00.000Z,512.900
 2008-11-27T20:00:00.000Z,479.520
 2008-11-27T21:00:00.000Z,488.460
 2008-11-27T22:00:00.000Z,502.090
 2008-11-27T23:00:00.000Z,507.390
 2008-11-28T00:00:00.000Z,492.340
 2008-11-28T01:00:00.000Z,485.460
 2008-11-28T02:00:00.000Z,491.150
 2008-11-28T03:00:00.000Z,501.360
 2008-11-28T04:00:00.000Z,502.340
 2008-11-28T05:00:00.000Z,501.080
 2008-11-28T06:00:00.000Z,506.610
 2008-11-28T07:00:00.000Z,496.020
 2008-11-28T08:00:00.000Z,496.100
 2008-11-28T09:00:00.000Z,490.140
 2008-11-28T10:00:00.000Z,486.540
 2008-11-28T11:00:00.000Z,480.070
 2008-11-28T12:00:00.000Z,487.150
 2008-11-28T13:00:00.000Z,488.980
 2008-11-28T14:00:00.000Z,477.810
 2008-11-28T15:00:00.000Z,470.750
 2008-11-28T16:00:00.000Z,474.640
 2008-11-28T17:00:00.000Z,478.990
 2008-11-28T18:00:00.000Z,460.130
 2008-11-28T19:00:00.000Z,461.380
 2008-11-28T20:00:00.000Z,459.440
 2008-11-28T21:00:00.000Z,458.470
 2008-11-28T22:00:00.000Z,472.250
 2008-11-28T23:00:00.000Z,467.870
 2008-11-29T00:00:00.000Z,460.710
 2008-11-29T01:00:00.000Z,460.590
 2008-11-29T02:00:00.000Z,464.860
 2008-11-29T03:00:00.000Z,452.450
 2008-11-29T04:00:00.000Z,447.730
 2008-11-29T05:00:00.000Z,443.870
 2008-11-29T06:00:00.000Z,440.380
 2008-11-29T07:00:00.000Z,437.140
 2008-11-29T08:00:00.000Z,431.740
 2008-11-29T09:00:00.000Z,427.040
 2008-11-29T10:00:00.000Z,431.180
 2008-11-29T11:00:00.000Z,421.240
 2008-11-29T12:00:00.000Z,409.720
 2008-11-29T13:00:00.000Z,403.910
 2008-11-29T14:00:00.000Z,402.950
 2008-11-29T15:00:00.000Z,403.850
 2008-11-29T16:00:00.000Z,398.650
 2008-11-29T17:00:00.000Z,398.840
 2008-11-29T18:00:00.000Z,391.820
 2008-11-29T19:00:00.000Z,393.280
 2008-11-29T20:00:00.000Z,394.970
 2008-11-29T21:00:00.000Z,391.780
 2008-11-29T22:00:00.000Z,390.360
 2008-11-29T23:00:00.000Z,392.710
 2008-11-30T00:00:00.000Z,384.930
 2008-11-30T01:00:00.000Z,380.510
 2008-11-30T02:00:00.000Z,367.180
 2008-11-30T03:00:00.000Z,362.670
 2008-11-30T04:00:00.000Z,365.700
 2008-11-30T05:00:00.000Z,375.710
 2008-11-30T06:00:00.000Z,373.690
 2008-11-30T07:00:00.000Z,379.670
 2008-11-30T08:00:00.000Z,370.120
 2008-11-30T09:00:00.000Z,359.380
 2008-11-30T10:00:00.000Z,362.150
 2008-11-30T11:00:00.000Z,363.410
 2008-11-30T12:00:00.000Z,353.120
 2008-11-30T13:00:00.000Z,352.920
 2008-11-30T14:00:00.000Z,350.130
 2008-11-30T15:00:00.000Z,369.540
 2008-11-30T16:00:00.000Z,369.620
 2008-11-30T17:00:00.000Z,373.260
 2008-11-30T18:00:00.000Z,374.160
 2008-11-30T19:00:00.000Z,369.920
 2008-11-30T20:00:00.000Z,374.570
 2008-11-30T21:00:00.000Z,371.200
 2008-11-30T22:00:00.000Z,365.940
 2008-11-30T23:00:00.000Z,362.620
 2008-12-01T00:00:00.000Z,364.230
 2008-12-01T01:00:00.000Z,351.980
 2008-12-01T02:00:00.000Z,338.940
 2008-12-01T03:00:00.000Z,338.530
 2008-12-01T04:00:00.000Z,324.890
 2008-12-01T05:00:00.000Z,316.710
 2008-12-01T06:00:00.000Z,313.130
 2008-12-01T07:00:00.000Z,313.120
 2008-12-01T08:00:00.000Z,313.400
 2008-12-01T09:00:00.000Z,312.090
 2008-12-01T10:00:00.000Z,309.840
 2008-12-01T11:00:00.000Z,307.900
 2008-12-01T12:00:00.000Z,302.820
 2008-12-01T13:00:00.000Z,305.560
 2008-12-01T14:00:00.000Z,301.740
 2008-12-01T15:00:00.000Z,299.820
 2008-12-01T16:00:00.000Z,299.270
 2008-12-01T17:00:00.000Z,305.350
 2008-12-01T18:00:00.000Z,303.920
 2008-12-01T19:00:00.000Z,304.350
 2008-12-01T20:00:00.000Z,305.080
 2008-12-01T21:00:00.000Z,300.540
 2008-12-01T22:00:00.000Z,298.990
 2008-12-01T23:00:00.000Z,292.320
 2008-12-02T00:00:00.000Z,287.090
 2008-12-02T01:00:00.000Z,291.960
 2008-12-02T02:00:00.000Z,290.620
 2008-12-02T03:00:00.000Z,286.320
 2008-12-02T04:00:00.000Z,283.200
 2008-12-02T05:00:00.000Z,284.160
 2008-12-02T06:00:00.000Z,285.780
 2008-12-02T07:00:00.000Z,287.690
 2008-12-02T08:00:00.000Z,292.130
 2008-12-02T09:00:00.000Z,287.610
 2008-12-02T10:00:00.000Z,284.880
 2008-12-02T11:00:00.000Z,281.160
 2008-12-02T12:00:00.000Z,286.360
 2008-12-02T13:00:00.000Z,289.760
 2008-12-02T14:00:00.000Z,286.980
 2008-12-02T15:00:00.000Z,291.950
 2008-12-02T16:00:00.000Z,292.870
 2008-12-02T17:00:00.000Z,292.540
 2008-12-02T18:00:00.000Z,296.210
 2008-12-02T19:00:00.000Z,295.490
 2008-12-02T20:00:00.000Z,296.310
 2008-12-02T21:00:00.000Z,293.440
 2008-12-02T22:00:00.000Z,295.380
 2008-12-02T23:00:00.000Z,294.920
 2008-12-03T00:00:00.000Z,296.790
 2008-12-03T01:00:00.000Z,295.380
 2008-12-03T02:00:00.000Z,297.890
 2008-12-03T03:00:00.000Z,294.370
 2008-12-03T04:00:00.000Z,291.280
 2008-12-03T05:00:00.000Z,300.720
 2008-12-03T06:00:00.000Z,309.700
 2008-12-03T07:00:00.000Z,311.950
 2008-12-03T08:00:00.000Z,318.710
 2008-12-03T09:00:00.000Z,331.270
 2008-12-03T10:00:00.000Z,328.810
 2008-12-03T11:00:00.000Z,329.920
 2008-12-03T12:00:00.000Z,323.950
 2008-12-03T13:00:00.000Z,313.900
 2008-12-03T14:00:00.000Z,318.680
 2008-12-03T15:00:00.000Z,326.100
 2008-12-03T16:00:00.000Z,374.010
 2008-12-03T17:00:00.000Z,380.570
 2008-12-03T18:00:00.000Z,389.860
 2008-12-03T19:00:00.000Z,385.790
 2008-12-03T20:00:00.000Z,420.700
 2008-12-03T21:00:00.000Z,438.260
 2008-12-03T22:00:00.000Z,438.810
 2008-12-03T23:00:00.000Z,434.810
 2008-12-04T00:00:00.000Z,446.140
 2008-12-04T01:00:00.000Z,436.810
 2008-12-04T02:00:00.000Z,436.630
 2008-12-04T03:00:00.000Z,466.930
 2008-12-04T04:00:00.000Z,494.440
 2008-12-04T05:00:00.000Z,502.580
 2008-12-04T06:00:00.000Z,486.310
 2008-12-04T07:00:00.000Z,484.820
 2008-12-04T08:00:00.000Z,478.120
 2008-12-04T09:00:00.000Z,459.480
 2008-12-04T10:00:00.000Z,459.150
 2008-12-04T11:00:00.000Z,458.670
 2008-12-04T12:00:00.000Z,435.860
 2008-12-04T13:00:00.000Z,430.910
 2008-12-04T14:00:00.000Z,427.480
 2008-12-04T15:00:00.000Z,419.110
 2008-12-04T16:00:00.000Z,426.360
 2008-12-04T17:00:00.000Z,422.940
 2008-12-04T18:00:00.000Z,398.940
 2008-12-04T19:00:00.000Z,387.890
 2008-12-04T20:00:00.000Z,381.520
 2008-12-04T21:00:00.000Z,383.340
 2008-12-04T22:00:00.000Z,383.920
 2008-12-04T23:00:00.000Z,392.350
 2008-12-05T00:00:00.000Z,389.030
 2008-12-05T01:00:00.000Z,375.640
 2008-12-05T02:00:00.000Z,371.250
 2008-12-05T03:00:00.000Z,366.650
 2008-12-05T04:00:00.000Z,373.620
 2008-12-05T05:00:00.000Z,378.160
 2008-12-05T06:00:00.000Z,378.390
 2008-12-05T07:00:00.000Z,390.190
 2008-12-05T08:00:00.000Z,391.220
 2008-12-05T09:00:00.000Z,390.770
 2008-12-05T10:00:00.000Z,400.760
 2008-12-05T11:00:00.000Z,426.780
 2008-12-05T12:00:00.000Z,437.350
 2008-12-05T13:00:00.000Z,429.510
 2008-12-05T14:00:00.000Z,422.030
 2008-12-05T15:00:00.000Z,416.000
 2008-12-05T16:00:00.000Z,420.020
 2008-12-05T17:00:00.000Z,421.010
 2008-12-05T18:00:00.000Z,415.050
 2008-12-05T19:00:00.000Z,417.880
 2008-12-05T20:00:00.000Z,424.440
 2008-12-05T21:00:00.000Z,436.940
 2008-12-05T22:00:00.000Z,461.040
 2008-12-05T23:00:00.000Z,458.430
 2008-12-06T00:00:00.000Z,489.890
 2008-12-06T01:00:00.000Z,474.360
