EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,BX_GSE_(@_x_component_)_nT,BY_GSE_(@_y_component_)_nT,BZ_GSE_(@_z_component_)_nT
2008-12-14T00:00:00.000Z,-1.37800,-2.49600,0.919000
2008-12-14T01:00:00.000Z,-2.00600,-2.27200,0.401000
2008-12-14T02:00:00.000Z,-3.08100,-1.73400,0.826000
2008-12-14T03:00:00.000Z,2.17600,-2.65100,-0.310000
2008-12-14T04:00:00.000Z,3.25300,-1.89800,0.210000
2008-12-14T05:00:00.000Z,-0.554000,-2.47800,-0.292000
2008-12-14T06:00:00.000Z,2.21900,-2.24400,0.115000
2008-12-14T07:00:00.000Z,2.06200,-2.19000,0.00500000
2008-12-14T08:00:00.000Z,2.22300,-1.46100,1.36000
2008-12-14T09:00:00.000Z,2.71200,0.0150000,1.03000
2008-12-14T10:00:00.000Z,2.95900,-0.282000,0.253000
2008-12-14T11:00:00.000Z,2.75200,-0.217000,0.452000
2008-12-14T12:00:00.000Z,2.32600,-1.32400,-0.191000
2008-12-14T13:00:00.000Z,2.43500,-0.462000,-1.24000
2008-12-14T14:00:00.000Z,-0.596000,-2.88800,0.00400000
2008-12-14T15:00:00.000Z,-0.137000,-2.80900,0.0170000
2008-12-14T16:00:00.000Z,1.07700,-2.96500,0.793000
2008-12-14T17:00:00.000Z,1.63200,-2.74600,0.387000
2008-12-14T18:00:00.000Z,0.0470000,-2.81500,0.269000
2008-12-14T19:00:00.000Z,-0.711000,-2.56400,-0.556000
2008-12-14T20:00:00.000Z,0.0360000,-1.83500,-0.0350000
2008-12-14T21:00:00.000Z,2.46600,-0.799000,0.864000
2008-12-14T22:00:00.000Z,1.64600,-1.18700,0.287000
2008-12-14T23:00:00.000Z,0.618000,-2.29100,0.0540000
2008-12-15T00:00:00.000Z,1.50200,-2.54900,-0.920000
2008-12-15T01:00:00.000Z,2.28500,-1.25300,-1.67100
2008-12-15T02:00:00.000Z,1.81700,-2.04800,0.708000
2008-12-15T03:00:00.000Z,1.51300,-2.88800,-1.19700
2008-12-15T04:00:00.000Z,1.64300,-1.60500,-0.567000
2008-12-15T05:00:00.000Z,0.323000,-1.29500,-0.404000
2008-12-15T06:00:00.000Z,1.56500,-1.27100,-1.80000
2008-12-15T07:00:00.000Z,3.42700,-1.88000,-1.60900
2008-12-15T08:00:00.000Z,2.47300,-1.78100,-0.956000
2008-12-15T09:00:00.000Z,-0.902000,-3.18900,-0.168000
2008-12-15T10:00:00.000Z,-1.47500,-0.918000,0.806000
2008-12-15T11:00:00.000Z,-0.137000,-0.938000,-0.135000
2008-12-15T12:00:00.000Z,-0.0740000,-1.09300,0.782000
2008-12-15T13:00:00.000Z,-0.810000,-3.28300,-0.0130000
2008-12-15T14:00:00.000Z,0.113000,-2.77200,0.0550000
2008-12-15T15:00:00.000Z,0.370000,-1.99900,-1.00400
2008-12-15T16:00:00.000Z,0.860000,-1.10400,-1.08300
2008-12-15T17:00:00.000Z,0.238000,-2.83900,-0.0750000
2008-12-15T18:00:00.000Z,1.31800,-2.46500,0.359000
2008-12-15T19:00:00.000Z,0.918000,-1.44900,-0.603000
2008-12-15T20:00:00.000Z,0.307000,-3.10300,-0.632000
2008-12-15T21:00:00.000Z,0.469000,-3.06900,0.790000
2008-12-15T22:00:00.000Z,1.34200,-2.63000,1.17700
2008-12-15T23:00:00.000Z,0.250000,-3.50900,0.568000
2008-12-16T00:00:00.000Z,-1.00500,-2.62700,0.127000
2008-12-16T01:00:00.000Z,-1.04300,-3.36600,-0.417000
2008-12-16T02:00:00.000Z,-0.337000,0.244000,-2.19400
2008-12-16T03:00:00.000Z,0.536000,0.470000,-1.62000
