EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,SW_H_SPEED_km/s
2008-12-14T00:00:00.000Z,404.270
2008-12-14T01:00:00.000Z,410.430
2008-12-14T02:00:00.000Z,411.990
2008-12-14T03:00:00.000Z,395.380
2008-12-14T04:00:00.000Z,381.000
2008-12-14T05:00:00.000Z,392.120
2008-12-14T06:00:00.000Z,376.320
2008-12-14T07:00:00.000Z,374.410
2008-12-14T08:00:00.000Z,365.150
2008-12-14T09:00:00.000Z,362.120
2008-12-14T10:00:00.000Z,360.570
2008-12-14T11:00:00.000Z,358.140
2008-12-14T12:00:00.000Z,358.960
2008-12-14T13:00:00.000Z,358.440
2008-12-14T14:00:00.000Z,361.010
2008-12-14T15:00:00.000Z,358.370
2008-12-14T16:00:00.000Z,338.290
2008-12-14T17:00:00.000Z,331.480
2008-12-14T18:00:00.000Z,333.330
2008-12-14T19:00:00.000Z,341.200
2008-12-14T20:00:00.000Z,336.540
2008-12-14T21:00:00.000Z,329.070
2008-12-14T22:00:00.000Z,324.320
2008-12-14T23:00:00.000Z,332.230
2008-12-15T00:00:00.000Z,335.300
2008-12-15T01:00:00.000Z,334.970
2008-12-15T02:00:00.000Z,335.330
2008-12-15T03:00:00.000Z,333.150
2008-12-15T04:00:00.000Z,330.540
2008-12-15T05:00:00.000Z,331.250
2008-12-15T06:00:00.000Z,325.360
2008-12-15T07:00:00.000Z,315.380
2008-12-15T08:00:00.000Z,318.500
2008-12-15T09:00:00.000Z,327.550
2008-12-15T10:00:00.000Z,326.710
2008-12-15T11:00:00.000Z,320.710
2008-12-15T12:00:00.000Z,323.940
2008-12-15T13:00:00.000Z,325.070
2008-12-15T14:00:00.000Z,320.950
2008-12-15T15:00:00.000Z,317.870
2008-12-15T16:00:00.000Z,316.790
2008-12-15T17:00:00.000Z,321.850
2008-12-15T18:00:00.000Z,316.790
2008-12-15T19:00:00.000Z,318.530
2008-12-15T20:00:00.000Z,328.480
2008-12-15T21:00:00.000Z,334.960
2008-12-15T22:00:00.000Z,334.000
2008-12-15T23:00:00.000Z,337.010
2008-12-16T00:00:00.000Z,340.410
2008-12-16T01:00:00.000Z,334.150
2008-12-16T02:00:00.000Z,332.960
2008-12-16T03:00:00.000Z,328.270
2008-12-16T04:00:00.000Z,323.360
2008-12-16T05:00:00.000Z,321.720
2008-12-16T06:00:00.000Z,323.140
2008-12-16T07:00:00.000Z,333.430
2008-12-16T08:00:00.000Z,330.660
2008-12-16T09:00:00.000Z,339.730
2008-12-16T10:00:00.000Z,360.730
2008-12-16T11:00:00.000Z,369.930
2008-12-16T12:00:00.000Z,373.180
2008-12-16T13:00:00.000Z,362.400
2008-12-16T14:00:00.000Z,361.960
2008-12-16T15:00:00.000Z,357.580
2008-12-16T16:00:00.000Z,352.590
2008-12-16T17:00:00.000Z,352.510
2008-12-16T18:00:00.000Z,348.830
2008-12-16T19:00:00.000Z,360.940
2008-12-16T20:00:00.000Z,360.060
2008-12-16T21:00:00.000Z,363.920
2008-12-16T22:00:00.000Z,363.120
2008-12-16T23:00:00.000Z,369.870
2008-12-17T00:00:00.000Z,372.390
2008-12-17T01:00:00.000Z,370.120
2008-12-17T02:00:00.000Z,372.460
2008-12-17T03:00:00.000Z,370.270
2008-12-17T04:00:00.000Z,343.670
2008-12-17T05:00:00.000Z,344.140
2008-12-17T06:00:00.000Z,339.970
2008-12-17T07:00:00.000Z,339.700
2008-12-17T08:00:00.000Z,345.330
2008-12-17T09:00:00.000Z,343.800
2008-12-17T10:00:00.000Z,339.600
2008-12-17T11:00:00.000Z,332.140
2008-12-17T12:00:00.000Z,334.710
2008-12-17T13:00:00.000Z,334.670
2008-12-17T14:00:00.000Z,315.590
2008-12-17T15:00:00.000Z,312.930
2008-12-17T16:00:00.000Z,307.560
2008-12-17T17:00:00.000Z,308.700
2008-12-17T18:00:00.000Z,311.400
2008-12-17T19:00:00.000Z,312.220
2008-12-17T20:00:00.000Z,314.260
2008-12-17T21:00:00.000Z,313.970
2008-12-17T22:00:00.000Z,315.700
2008-12-17T23:00:00.000Z,318.650
2008-12-18T00:00:00.000Z,320.110
