EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,PROTON_DENSITY_#/cm^3
2008-12-14T00:02:26.000Z,2.84120
2008-12-14T00:14:24.000Z,2.72360
2008-12-14T00:26:29.000Z,2.39190
2008-12-14T00:38:26.000Z,2.51810
2008-12-14T00:50:32.000Z,2.66570
2008-12-14T01:02:29.000Z,2.65260
2008-12-14T01:14:26.000Z,2.71420
2008-12-14T01:26:32.000Z,2.47820
2008-12-14T01:38:29.000Z,2.33770
2008-12-14T01:50:35.000Z,2.14590
2008-12-14T02:02:32.000Z,2.74480
2008-12-14T02:14:38.000Z,2.26310
2008-12-14T02:26:35.000Z,2.14770
2008-12-14T02:38:41.000Z,2.92300
2008-12-14T02:50:38.000Z,2.81670
2008-12-14T03:02:44.000Z,2.67100
2008-12-14T03:14:41.000Z,2.32910
2008-12-14T03:26:47.000Z,2.50250
2008-12-14T03:38:44.000Z,2.14260
2008-12-14T03:50:49.000Z,2.14200
2008-12-14T04:02:47.000Z,2.66970
2008-12-14T04:14:52.000Z,2.20600
2008-12-14T04:26:49.000Z,1.90600
2008-12-14T04:38:55.000Z,1.87260
2008-12-14T04:50:52.000Z,1.77480
2008-12-14T05:02:49.000Z,1.74500
2008-12-14T05:14:55.000Z,2.22280
2008-12-14T05:26:52.000Z,2.78090
2008-12-14T05:38:58.000Z,2.94250
2008-12-14T05:50:55.000Z,2.54900
2008-12-14T06:03:01.000Z,2.98990
2008-12-14T06:14:58.000Z,2.72130
2008-12-14T06:27:04.000Z,2.91700
2008-12-14T06:39:01.000Z,2.98930
2008-12-14T06:51:07.000Z,2.73320
2008-12-14T07:03:04.000Z,2.51230
2008-12-14T07:15:10.000Z,2.84730
2008-12-14T07:27:07.000Z,2.62730
2008-12-14T07:39:12.000Z,2.33010
2008-12-14T07:51:10.000Z,2.84750
2008-12-14T08:03:15.000Z,3.88450
2008-12-14T08:15:12.000Z,3.00050
2008-12-14T08:27:18.000Z,2.84360
2008-12-14T08:39:15.000Z,2.87520
2008-12-14T08:51:21.000Z,3.27870
2008-12-14T09:03:18.000Z,3.24950
2008-12-14T09:15:15.000Z,3.45560
2008-12-14T09:27:21.000Z,3.05960
2008-12-14T09:39:18.000Z,2.35060
2008-12-14T09:51:24.000Z,2.75110
2008-12-14T10:03:21.000Z,2.95320
2008-12-14T10:15:27.000Z,3.11360
2008-12-14T10:27:24.000Z,3.02540
2008-12-14T10:39:30.000Z,2.84620
2008-12-14T10:51:27.000Z,3.46530
2008-12-14T11:03:33.000Z,3.59470
2008-12-14T11:15:30.000Z,3.40170
2008-12-14T11:27:36.000Z,3.40670
2008-12-14T11:39:33.000Z,3.65390
2008-12-14T11:51:38.000Z,3.21160
2008-12-14T12:03:36.000Z,3.79200
2008-12-14T12:15:41.000Z,3.93390
2008-12-14T12:27:38.000Z,3.81570
2008-12-14T12:39:44.000Z,3.55970
2008-12-14T12:51:41.000Z,4.98260
2008-12-14T13:03:47.000Z,4.79350
2008-12-14T13:15:44.000Z,4.20270
2008-12-14T13:27:41.000Z,3.50800
2008-12-14T13:39:47.000Z,3.68500
2008-12-14T13:51:44.000Z,3.88400
2008-12-14T14:03:50.000Z,2.78530
2008-12-14T14:15:47.000Z,3.38890
2008-12-14T14:27:53.000Z,3.21660
2008-12-14T14:39:50.000Z,3.89400
2008-12-14T14:51:56.000Z,3.60590
2008-12-14T15:03:53.000Z,3.01290
2008-12-14T15:15:59.000Z,3.46810
2008-12-14T15:27:56.000Z,3.39650
2008-12-14T15:40:01.000Z,2.14200
2008-12-14T15:51:59.000Z,2.31000
2008-12-14T16:04:04.000Z,2.02480
2008-12-14T16:16:01.000Z,1.82010
2008-12-14T16:28:07.000Z,2.87810
2008-12-14T16:40:04.000Z,3.02800
2008-12-14T16:52:10.000Z,2.96090
2008-12-14T17:04:07.000Z,2.90320
2008-12-14T17:16:04.000Z,2.34850
2008-12-14T17:28:10.000Z,1.80750
2008-12-14T17:40:07.000Z,2.97830
2008-12-14T17:52:13.000Z,2.61650
2008-12-14T18:04:10.000Z,2.55140
2008-12-14T18:16:16.000Z,3.60320
2008-12-14T18:28:13.000Z,3.55520
2008-12-14T18:40:19.000Z,3.54020
2008-12-14T18:52:16.000Z,3.53890
2008-12-14T19:04:22.000Z,3.89660
2008-12-14T19:16:19.000Z,2.93720
2008-12-14T19:28:24.000Z,3.91750
2008-12-14T19:40:22.000Z,4.16010
2008-12-14T19:52:27.000Z,3.75500
2008-12-14T20:04:24.000Z,4.14100
2008-12-14T20:16:30.000Z,4.04560
2008-12-14T20:28:27.000Z,4.19460
2008-12-14T20:40:33.000Z,4.42640
2008-12-14T20:52:30.000Z,3.73020
2008-12-14T21:04:36.000Z,4.58180
2008-12-14T21:16:33.000Z,4.79310
2008-12-14T21:28:30.000Z,2.90230
2008-12-14T21:40:36.000Z,4.53510
2008-12-14T21:52:42.000Z,4.87370
2008-12-14T22:04:39.000Z,4.92090
2008-12-14T22:16:36.000Z,4.78130
2008-12-14T22:28:42.000Z,4.99330
2008-12-14T22:40:39.000Z,5.57920
2008-12-14T22:52:45.000Z,5.41240
2008-12-14T23:04:42.000Z,6.10250
2008-12-14T23:16:48.000Z,6.29690
2008-12-14T23:28:45.000Z,7.18680
2008-12-14T23:40:50.000Z,4.93940
2008-12-14T23:52:48.000Z,7.12240
2008-12-15T00:04:53.000Z,7.60490
2008-12-15T00:16:50.000Z,7.66170
2008-12-15T00:28:56.000Z,8.48420
2008-12-15T00:40:53.000Z,7.10330
2008-12-15T00:52:59.000Z,8.46250
2008-12-15T01:04:56.000Z,9.75830
2008-12-15T01:17:02.000Z,8.82080
2008-12-15T01:28:59.000Z,10.0330
2008-12-15T01:41:05.000Z,6.62960
2008-12-15T01:53:02.000Z,6.59150
2008-12-15T02:05:08.000Z,8.95050
2008-12-15T02:17:05.000Z,8.07790
2008-12-15T02:29:02.000Z,8.10000
2008-12-15T02:41:08.000Z,8.67850
2008-12-15T02:53:05.000Z,9.16900
2008-12-15T03:05:11.000Z,10.6710
2008-12-15T03:17:08.000Z,9.29690
2008-12-15T03:29:13.000Z,7.72130
2008-12-15T03:41:11.000Z,10.1410
2008-12-15T03:53:16.000Z,10.2790
2008-12-15T04:05:13.000Z,6.93060
2008-12-15T04:17:19.000Z,9.89820
2008-12-15T04:29:16.000Z,9.94460
2008-12-15T04:41:22.000Z,10.7310
2008-12-15T04:53:19.000Z,11.7950
2008-12-15T05:05:25.000Z,10.6520
2008-12-15T05:17:22.000Z,11.8950
2008-12-15T05:29:28.000Z,10.1220
2008-12-15T05:41:25.000Z,9.08790
2008-12-15T05:53:31.000Z,9.83950
2008-12-15T06:05:28.000Z,9.88700
2008-12-15T06:17:34.000Z,5.25480
2008-12-15T06:29:31.000Z,8.17000
2008-12-15T06:41:28.000Z,8.51760
2008-12-15T06:53:34.000Z,8.85580
2008-12-15T07:05:31.000Z,5.96320
2008-12-15T07:17:36.000Z,7.53710
2008-12-15T07:29:34.000Z,6.43180
2008-12-15T07:41:39.000Z,7.60430
2008-12-15T07:53:36.000Z,5.54660
2008-12-15T08:05:42.000Z,5.15080
2008-12-15T08:17:39.000Z,8.17970
2008-12-15T08:29:45.000Z,4.74040
2008-12-15T08:41:42.000Z,9.81820
2008-12-15T08:53:48.000Z,9.78970
2008-12-15T09:05:45.000Z,9.80020
2008-12-15T09:17:51.000Z,8.90490
2008-12-15T09:29:48.000Z,8.65210
2008-12-15T09:41:54.000Z,8.48410
2008-12-15T09:53:51.000Z,9.17970
2008-12-15T10:05:57.000Z,11.2450
2008-12-15T10:17:54.000Z,10.2990
2008-12-15T10:30:00.000Z,11.6890
2008-12-15T10:41:57.000Z,6.07210
2008-12-15T10:53:54.000Z,9.71860
2008-12-15T11:06:00.000Z,8.41240
2008-12-15T11:17:57.000Z,9.04660
2008-12-15T11:30:02.000Z,8.40680
2008-12-15T11:42:00.000Z,10.0090
2008-12-15T11:54:05.000Z,9.28200
2008-12-15T12:06:02.000Z,9.89410
