EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,PROTON_SPEED_km/s
2008-11-20T07:07:23.000Z,284.220
2008-11-20T07:19:29.000Z,283.100
2008-11-20T07:31:26.000Z,286.100
2008-11-20T07:43:32.000Z,286.920
2008-11-20T07:55:29.000Z,286.280
2008-11-20T08:07:35.000Z,286.170
2008-11-20T08:19:32.000Z,293.040
2008-11-20T08:31:29.000Z,292.970
2008-11-20T08:43:35.000Z,289.630
2008-11-20T08:55:32.000Z,289.490
2008-11-20T09:07:37.000Z,291.500
2008-11-20T09:19:35.000Z,291.930
2008-11-20T09:31:32.000Z,300.920
2008-11-20T09:43:37.000Z,301.110
2008-11-20T09:55:35.000Z,297.590
2008-11-20T10:07:40.000Z,293.650
2008-11-20T10:19:37.000Z,293.310
2008-11-20T10:31:43.000Z,293.350
2008-11-20T10:43:40.000Z,291.600
2008-11-20T10:55:37.000Z,290.790
2008-11-20T11:07:43.000Z,291.540
2008-11-20T11:19:40.000Z,290.030
2008-11-20T11:31:46.000Z,289.710
2008-11-20T11:43:43.000Z,288.150
2008-11-20T11:55:40.000Z,289.110
2008-11-20T12:07:46.000Z,289.630
2008-11-20T12:19:43.000Z,290.400
2008-11-20T12:31:49.000Z,287.010
2008-11-20T12:43:46.000Z,294.490
2008-11-20T12:55:52.000Z,294.760
2008-11-20T13:07:49.000Z,292.220
2008-11-20T13:19:46.000Z,292.580
2008-11-20T13:31:52.000Z,293.540
2008-11-20T13:43:49.000Z,293.320
2008-11-20T13:55:55.000Z,296.500
2008-11-20T14:07:52.000Z,300.780
2008-11-20T14:19:58.000Z,299.700
2008-11-20T14:31:55.000Z,297.730
2008-11-20T14:43:52.000Z,293.820
2008-11-20T14:55:58.000Z,296.240
2008-11-20T15:07:55.000Z,298.480
2008-11-20T15:20:00.000Z,292.490
2008-11-20T15:31:58.000Z,291.880
2008-11-20T15:43:55.000Z,292.740
2008-11-20T15:56:00.000Z,292.900
2008-11-20T16:07:58.000Z,291.430
2008-11-20T16:20:03.000Z,297.250
2008-11-20T16:32:00.000Z,295.850
2008-11-20T16:44:06.000Z,300.030
2008-11-20T16:56:03.000Z,300.330
2008-11-20T17:08:00.000Z,299.940
2008-11-20T17:20:06.000Z,312.080
2008-11-20T17:32:03.000Z,320.000
2008-11-20T17:44:09.000Z,315.900
2008-11-20T17:56:06.000Z,312.450
2008-11-20T18:08:03.000Z,308.180
2008-11-20T18:20:09.000Z,305.720
2008-11-20T18:32:06.000Z,304.790
2008-11-20T18:44:12.000Z,299.530
2008-11-20T18:56:09.000Z,308.990
2008-11-20T19:08:15.000Z,311.060
2008-11-20T19:20:12.000Z,311.470
2008-11-20T19:32:09.000Z,312.310
2008-11-20T19:44:15.000Z,309.420
2008-11-20T19:56:12.000Z,312.320
2008-11-20T20:08:18.000Z,312.090
2008-11-20T20:20:15.000Z,314.900
2008-11-20T20:32:21.000Z,315.050
2008-11-20T20:44:18.000Z,313.410
2008-11-20T20:56:15.000Z,313.810
2008-11-20T21:08:21.000Z,315.050
2008-11-20T21:20:18.000Z,313.220
2008-11-20T21:32:24.000Z,311.090
2008-11-20T21:44:21.000Z,307.550
2008-11-20T21:56:18.000Z,310.930
2008-11-20T22:08:24.000Z,310.950
2008-11-20T22:20:21.000Z,305.660
2008-11-20T22:32:26.000Z,306.590
2008-11-20T22:44:24.000Z,306.750
2008-11-20T22:56:29.000Z,303.930
2008-11-20T23:08:26.000Z,303.700
2008-11-20T23:20:24.000Z,306.350
2008-11-20T23:32:29.000Z,306.750
2008-11-20T23:44:26.000Z,303.990
2008-11-20T23:56:32.000Z,305.740
2008-11-21T00:08:29.000Z,306.030
2008-11-21T00:20:26.000Z,307.110
2008-11-21T00:32:32.000Z,309.410
2008-11-21T00:44:29.000Z,310.920
2008-11-21T00:56:35.000Z,309.790
2008-11-21T01:08:32.000Z,312.950
2008-11-21T01:20:38.000Z,309.610
2008-11-21T01:32:35.000Z,308.000
2008-11-21T01:44:32.000Z,303.870
2008-11-21T01:56:38.000Z,310.940
2008-11-21T02:08:35.000Z,314.920
2008-11-21T02:20:41.000Z,329.810
2008-11-21T02:32:38.000Z,329.760
2008-11-21T02:44:44.000Z,330.280
2008-11-21T02:56:41.000Z,324.400
2008-11-21T03:08:38.000Z,329.320
2008-11-21T03:20:44.000Z,329.030
2008-11-21T03:32:41.000Z,328.940
2008-11-21T03:44:47.000Z,327.370
2008-11-21T03:56:44.000Z,323.420
2008-11-21T04:08:41.000Z,324.300
2008-11-21T04:20:47.000Z,322.000
2008-11-21T04:32:44.000Z,325.190
2008-11-21T04:44:49.000Z,328.520
2008-11-21T04:56:47.000Z,330.120
2008-11-21T05:08:52.000Z,324.480
2008-11-21T05:20:49.000Z,328.990
2008-11-21T05:32:47.000Z,327.880
2008-11-21T05:44:52.000Z,324.280
2008-11-21T05:56:49.000Z,324.310
2008-11-21T06:08:55.000Z,328.080
2008-11-21T06:20:52.000Z,325.850
2008-11-21T06:32:49.000Z,325.970
2008-11-21T06:44:55.000Z,322.350
2008-11-21T06:56:52.000Z,323.040
2008-11-21T07:08:58.000Z,317.100
2008-11-21T07:20:55.000Z,324.560
2008-11-21T07:33:01.000Z,317.660
2008-11-21T07:44:58.000Z,317.640
2008-11-21T07:56:55.000Z,316.750
2008-11-21T08:09:01.000Z,317.100
2008-11-21T08:20:58.000Z,319.970
2008-11-21T08:33:04.000Z,315.210
2008-11-21T08:45:01.000Z,316.610
2008-11-21T08:57:07.000Z,315.230
2008-11-21T09:09:04.000Z,315.600
2008-11-21T09:21:01.000Z,315.570
2008-11-21T09:33:07.000Z,315.610
2008-11-21T09:45:04.000Z,320.300
2008-11-21T09:57:10.000Z,317.830
2008-11-21T10:09:07.000Z,315.590
2008-11-21T10:21:04.000Z,313.700
2008-11-21T10:33:10.000Z,315.130
2008-11-21T10:45:07.000Z,314.690
2008-11-21T10:57:12.000Z,311.850
2008-11-21T11:09:10.000Z,311.840
2008-11-21T11:21:15.000Z,314.100
2008-11-21T11:33:12.000Z,314.060
2008-11-21T11:45:10.000Z,311.610
2008-11-21T11:57:15.000Z,311.660
2008-11-21T12:09:12.000Z,311.960
2008-11-21T12:21:18.000Z,309.780
2008-11-21T12:33:15.000Z,308.540
2008-11-21T12:45:12.000Z,309.110
2008-11-21T12:57:18.000Z,308.010
2008-11-21T13:09:15.000Z,309.190
2008-11-21T13:21:21.000Z,308.520
2008-11-21T13:33:18.000Z,308.320
2008-11-21T13:45:24.000Z,305.140
2008-11-21T13:57:21.000Z,304.690
2008-11-21T14:09:18.000Z,303.060
2008-11-21T14:21:24.000Z,297.540
2008-11-21T14:33:21.000Z,297.680
2008-11-21T14:45:27.000Z,300.600
2008-11-21T14:57:24.000Z,301.160
2008-11-21T15:09:30.000Z,298.920
2008-11-21T15:21:27.000Z,297.630
2008-11-21T15:33:24.000Z,298.840
2008-11-21T15:45:30.000Z,299.670
2008-11-21T15:57:27.000Z,305.620
2008-11-21T16:09:33.000Z,300.010
2008-11-21T16:21:30.000Z,298.870
2008-11-21T16:33:36.000Z,298.910
2008-11-21T16:45:33.000Z,295.950
2008-11-21T16:57:30.000Z,296.210
2008-11-21T17:09:36.000Z,296.290
2008-11-21T17:21:33.000Z,295.820
