EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,SPEED_km/s
2008-11-20T07:00:42.254Z,276.00000
2008-11-20T07:10:42.254Z,275.00000
2008-11-20T07:20:42.250Z,273.00000
2008-11-20T07:30:42.250Z,273.00000
2008-11-20T07:40:42.250Z,274.00000
2008-11-20T07:50:42.246Z,273.00000
2008-11-20T08:00:42.246Z,274.00000
2008-11-20T08:10:42.246Z,273.00000
2008-11-20T08:20:42.242Z,272.00000
2008-11-20T08:30:42.242Z,272.00000
2008-11-20T08:40:42.242Z,270.00000
2008-11-20T08:50:42.238Z,270.00000
2008-11-20T09:00:42.238Z,269.00000
2008-11-20T09:10:42.234Z,267.00000
2008-11-20T09:20:42.234Z,268.00000
2008-11-20T09:30:42.234Z,273.00000
2008-11-20T09:40:42.230Z,272.00000
2008-11-20T09:50:42.230Z,273.00000
2008-11-20T10:00:42.230Z,275.00000
2008-11-20T10:10:42.227Z,277.00000
2008-11-20T10:20:42.227Z,276.00000
2008-11-20T10:30:42.227Z,275.00000
2008-11-20T10:40:42.223Z,277.00000
2008-11-20T10:50:42.223Z,277.00000
2008-11-20T11:00:42.219Z,275.00000
2008-11-20T11:10:42.219Z,276.00000
2008-11-20T11:20:42.219Z,275.00000
2008-11-20T11:30:42.215Z,273.00000
2008-11-20T11:40:42.215Z,273.00000
2008-11-20T11:50:42.215Z,273.00000
2008-11-20T12:00:42.211Z,272.00000
2008-11-20T12:10:42.211Z,269.00000
2008-11-20T12:20:42.211Z,267.00000
2008-11-20T12:30:42.207Z,267.00000
2008-11-20T12:40:42.207Z,266.00000
2008-11-20T12:50:42.203Z,267.00000
2008-11-20T13:00:42.203Z,264.00000
2008-11-20T13:10:42.203Z,263.00000
2008-11-20T13:20:42.199Z,263.00000
2008-11-20T13:30:42.199Z,264.00000
2008-11-20T13:40:42.199Z,264.00000
2008-11-20T13:50:42.195Z,267.00000
2008-11-20T14:00:42.195Z,265.00000
2008-11-20T14:10:42.195Z,264.00000
2008-11-20T14:20:42.191Z,264.00000
2008-11-20T14:30:42.191Z,264.00000
2008-11-20T14:40:42.188Z,264.00000
2008-11-20T14:50:42.188Z,274.00000
2008-11-20T15:00:42.188Z,274.00000
2008-11-20T15:10:42.184Z,272.00000
2008-11-20T15:20:42.184Z,270.00000
2008-11-20T15:30:42.184Z,273.00000
2008-11-20T15:40:42.180Z,271.00000
2008-11-20T15:50:42.180Z,271.00000
2008-11-20T16:00:42.176Z,273.00000
2008-11-20T16:10:42.176Z,275.00000
2008-11-20T16:20:42.176Z,275.00000
2008-11-20T16:30:42.172Z,275.00000
2008-11-20T16:40:42.172Z,275.00000
2008-11-20T16:50:42.172Z,274.00000
2008-11-20T17:00:42.168Z,273.00000
2008-11-20T17:10:42.168Z,268.00000
2008-11-20T17:20:42.168Z,271.00000
2008-11-20T17:30:42.164Z,271.00000
2008-11-20T17:40:42.164Z,280.00000
2008-11-20T17:50:42.160Z,276.00000
2008-11-20T18:00:42.160Z,276.00000
2008-11-20T18:10:42.160Z,275.00000
2008-11-20T18:20:42.156Z,273.00000
2008-11-20T18:30:42.156Z,271.00000
2008-11-20T18:40:42.156Z,269.00000
2008-11-20T18:50:42.152Z,269.00000
2008-11-20T19:00:42.152Z,268.00000
2008-11-20T19:10:42.152Z,266.00000
2008-11-20T19:20:42.148Z,269.00000
2008-11-20T19:30:42.148Z,266.00000
2008-11-20T19:40:42.145Z,268.00000
2008-11-20T19:50:42.145Z,273.00000
2008-11-20T20:00:42.145Z,273.00000
2008-11-20T20:10:42.141Z,271.00000
2008-11-20T20:20:42.141Z,274.00000
2008-11-20T20:30:42.141Z,275.00000
2008-11-20T20:40:42.137Z,276.00000
2008-11-20T20:50:42.137Z,277.00000
2008-11-20T21:00:42.133Z,276.00000
2008-11-20T21:10:42.133Z,276.00000
2008-11-20T21:20:42.133Z,278.00000
2008-11-20T21:30:42.129Z,278.00000
2008-11-20T21:40:42.129Z,274.00000
2008-11-20T21:50:42.129Z,273.00000
2008-11-20T22:00:42.125Z,271.00000
2008-11-20T22:10:42.125Z,269.00000
2008-11-20T22:20:42.121Z,272.00000
2008-11-20T22:30:42.121Z,270.00000
2008-11-20T22:40:42.121Z,271.00000
2008-11-20T22:50:42.117Z,270.00000
2008-11-20T23:00:42.117Z,270.00000
2008-11-20T23:10:42.117Z,270.00000
2008-11-20T23:20:42.113Z,267.00000
2008-11-20T23:30:42.113Z,266.00000
2008-11-20T23:40:42.113Z,265.00000
2008-11-20T23:50:42.109Z,268.00000
2008-11-21T00:00:42.109Z,267.00000
2008-11-21T00:10:42.105Z,269.00000
2008-11-21T00:20:42.105Z,272.00000
2008-11-21T00:30:42.105Z,272.00000
2008-11-21T00:40:42.102Z,274.00000
2008-11-21T00:50:42.102Z,276.00000
2008-11-21T01:00:42.102Z,275.00000
2008-11-21T01:10:42.098Z,276.00000
2008-11-21T01:20:42.098Z,278.00000
2008-11-21T01:30:42.094Z,278.00000
2008-11-21T01:40:42.094Z,280.00000
2008-11-21T01:50:42.094Z,279.00000
2008-11-21T02:00:42.090Z,277.00000
2008-11-21T02:10:42.090Z,279.00000
2008-11-21T02:20:42.090Z,283.00000
2008-11-21T02:30:42.086Z,284.00000
2008-11-21T02:40:42.086Z,283.00000
2008-11-21T02:50:42.082Z,285.00000
2008-11-21T03:00:42.082Z,285.00000
2008-11-21T03:10:42.082Z,283.00000
2008-11-21T03:20:42.078Z,284.00000
2008-11-21T03:30:42.078Z,283.00000
2008-11-21T03:40:42.078Z,282.00000
2008-11-21T03:50:42.074Z,282.00000
2008-11-21T04:00:42.074Z,285.00000
2008-11-21T04:10:42.070Z,284.00000
2008-11-21T04:20:42.070Z,285.00000
2008-11-21T04:30:42.070Z,286.00000
2008-11-21T04:40:42.066Z,286.00000
2008-11-21T04:50:42.066Z,285.00000
2008-11-21T05:00:42.066Z,286.00000
2008-11-21T05:10:42.063Z,284.00000
2008-11-21T05:20:42.063Z,284.00000
2008-11-21T05:30:42.059Z,283.00000
2008-11-21T05:40:42.059Z,284.00000
2008-11-21T05:50:42.059Z,284.00000
2008-11-21T06:00:42.055Z,284.00000
2008-11-21T06:10:42.055Z,283.00000
2008-11-21T06:20:42.055Z,282.00000
2008-11-21T06:30:42.051Z,285.00000
2008-11-21T06:40:42.051Z,284.00000
2008-11-21T06:50:42.047Z,279.00000
2008-11-21T07:00:42.047Z,281.00000
2008-11-21T07:10:42.047Z,282.00000
2008-11-21T07:20:42.043Z,281.00000
2008-11-21T07:30:42.043Z,280.00000
2008-11-21T07:40:42.043Z,280.00000
2008-11-21T07:50:42.039Z,284.00000
2008-11-21T08:00:42.039Z,282.00000
2008-11-21T08:10:42.035Z,283.00000
2008-11-21T08:20:42.035Z,281.00000
2008-11-21T08:30:42.035Z,281.00000
2008-11-21T08:40:42.031Z,280.00000
2008-11-21T08:50:42.031Z,279.00000
2008-11-21T09:00:42.031Z,279.00000
2008-11-21T09:10:42.027Z,279.00000
2008-11-21T09:20:42.027Z,279.00000
2008-11-21T09:30:42.023Z,279.00000
2008-11-21T09:40:42.023Z,278.00000
2008-11-21T09:50:42.023Z,277.00000
2008-11-21T10:00:42.020Z,275.00000
2008-11-21T10:10:42.020Z,273.00000
2008-11-21T10:20:42.020Z,274.00000
2008-11-21T10:30:42.016Z,270.00000
2008-11-21T10:40:42.016Z,271.00000
2008-11-21T10:50:42.012Z,270.00000
2008-11-21T11:00:42.012Z,268.00000
2008-11-21T11:10:42.012Z,267.00000
2008-11-21T11:20:42.008Z,268.00000
2008-11-21T11:30:42.008Z,269.00000
2008-11-21T11:40:42.008Z,270.00000
2008-11-21T11:50:42.004Z,268.00000
2008-11-21T12:00:42.004Z,268.00000
2008-11-21T12:10:42.000Z,267.00000
2008-11-21T12:20:42.000Z,266.00000
2008-11-21T12:30:42.000Z,265.00000
2008-11-21T12:40:41.996Z,266.00000
2008-11-21T12:50:41.996Z,267.00000
2008-11-21T13:00:41.996Z,267.00000
2008-11-21T13:10:41.992Z,267.00000
2008-11-21T13:20:41.992Z,267.00000
2008-11-21T13:30:41.988Z,269.00000
2008-11-21T13:40:41.988Z,271.00000
2008-11-21T13:50:41.988Z,272.00000
2008-11-21T14:00:41.984Z,272.00000
2008-11-21T14:10:41.984Z,274.00000
2008-11-21T14:20:41.984Z,274.00000
2008-11-21T14:30:41.980Z,275.00000
2008-11-21T14:40:41.980Z,277.00000
2008-11-21T14:50:41.977Z,278.00000
2008-11-21T15:00:41.977Z,280.00000
2008-11-21T15:10:41.977Z,281.00000
