EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,SPEED_km/s
2008-11-20T07:00:06.391Z,283.00000
2008-11-20T07:10:06.391Z,284.00000
2008-11-20T07:20:06.387Z,284.00000
2008-11-20T07:30:06.387Z,284.00000
2008-11-20T07:40:06.387Z,283.00000
2008-11-20T07:50:06.383Z,284.00000
2008-11-20T08:00:06.383Z,284.00000
2008-11-20T08:10:06.379Z,283.00000
2008-11-20T08:20:06.379Z,283.00000
2008-11-20T08:30:06.375Z,284.00000
2008-11-20T08:40:06.375Z,283.00000
2008-11-20T08:50:06.375Z,284.00000
2008-11-20T09:00:06.371Z,281.00000
2008-11-20T09:10:06.371Z,283.00000
2008-11-20T09:20:06.367Z,283.00000
2008-11-20T09:30:06.367Z,283.00000
2008-11-20T09:40:06.363Z,283.00000
2008-11-20T09:50:06.363Z,282.00000
2008-11-20T10:00:06.359Z,283.00000
2008-11-20T10:10:06.359Z,284.00000
2008-11-20T10:20:06.359Z,283.00000
2008-11-20T10:30:06.355Z,284.00000
2008-11-20T10:40:06.355Z,286.00000
2008-11-20T10:50:06.352Z,285.00000
2008-11-20T11:00:06.352Z,286.00000
2008-11-20T11:10:06.348Z,285.00000
2008-11-20T11:20:06.348Z,285.00000
2008-11-20T11:30:06.348Z,284.00000
2008-11-20T11:40:06.344Z,285.00000
2008-11-20T11:50:06.344Z,284.00000
2008-11-20T12:00:06.340Z,283.00000
2008-11-20T12:10:06.340Z,284.00000
2008-11-20T12:20:06.336Z,284.00000
2008-11-20T12:30:06.336Z,285.00000
2008-11-20T12:40:06.336Z,285.00000
2008-11-20T12:50:06.332Z,285.00000
2008-11-20T13:00:06.332Z,285.00000
2008-11-20T13:10:06.328Z,285.00000
2008-11-20T13:20:06.328Z,285.00000
2008-11-20T13:30:06.324Z,285.00000
2008-11-20T13:40:06.324Z,286.00000
2008-11-20T13:50:06.324Z,286.00000
2008-11-20T14:00:06.320Z,285.00000
2008-11-20T14:10:06.320Z,285.00000
2008-11-20T14:20:06.316Z,284.00000
2008-11-20T14:30:06.316Z,285.00000
2008-11-20T14:40:06.313Z,284.00000
2008-11-20T14:50:06.313Z,285.00000
2008-11-20T15:00:06.313Z,285.00000
2008-11-20T15:10:06.309Z,285.00000
2008-11-20T15:20:06.309Z,285.00000
2008-11-20T15:30:06.305Z,284.00000
2008-11-20T15:40:06.305Z,284.00000
2008-11-20T15:50:06.301Z,285.00000
2008-11-20T16:00:06.301Z,285.00000
2008-11-20T16:10:06.301Z,284.00000
2008-11-20T16:20:06.297Z,284.00000
2008-11-20T16:30:06.297Z,283.00000
2008-11-20T16:40:06.293Z,283.00000
2008-11-20T16:50:06.293Z,284.00000
2008-11-20T17:00:06.289Z,285.00000
2008-11-20T17:10:06.289Z,285.00000
2008-11-20T17:20:06.289Z,285.00000
2008-11-20T17:30:06.285Z,286.00000
