"day","front1_el","front1_el_hi","front1_el_lo","front2_el","front2_el_hi","front2_el_lo","hour","minute","month","second","time","times_A","year",
12,5.1354,0.52767,0.58406,NaN,NaN,NaN,16,9,12,1,"2008-12-12 16:09:01",733754.6729,2008,
12,5.3507,1.6672,0.39006,NaN,NaN,NaN,16,49,12,1,"2008-12-12 16:49:01",733754.7007,2008,
12,5.8582,0.56886,0.60627,NaN,NaN,NaN,17,29,12,1,"2008-12-12 17:29:01",733754.7285,2008,
12,6.2903,0.51101,1.7579,NaN,NaN,NaN,18,9,12,1,"2008-12-12 18:09:01",733754.7563,2008,
12,6.5454,0.45215,0.53001,NaN,NaN,NaN,18,49,12,1,"2008-12-12 18:49:01",733754.784,2008,
12,6.939,0.41351,0.39312,NaN,NaN,NaN,19,29,12,1,"2008-12-12 19:29:01",733754.8118,2008,
12,7.3521,0.55282,0.47252,NaN,NaN,NaN,20,9,12,1,"2008-12-12 20:09:01",733754.8396,2008,
12,7.6681,0.51354,0.45384,5.8198,0.6632,0.64516,20,49,12,1,"2008-12-12 20:49:01",733754.8674,2008,
12,8.2017,0.55453,0.53331,6.153,0.52874,0.54718,21,29,12,1,"2008-12-12 21:29:01",733754.8952,2008,
12,8.5965,0.53541,0.53408,6.6824,0.38536,0.50179,22,9,12,1,"2008-12-12 22:09:01",733754.9229,2008,
12,8.954,0.51574,0.45595,6.9779,0.47206,0.44734,22,49,12,1,"2008-12-12 22:49:01",733754.9507,2008,
12,9.6678,0.45748,0.75395,7.1152,0.43416,0.51065,23,29,12,1,"2008-12-12 23:29:01",733754.9785,2008,
13,9.9275,0.51707,0.59618,7.4314,0.45903,0.78582,0,9,12,1,"2008-12-13 00:09:01",733755.0063,2008,
13,10.1455,0.51733,0.51708,7.9047,0.67674,0.4572,0,49,12,1,"2008-12-13 00:49:01",733755.034,2008,
13,10.6435,0.59795,0.49742,8.3995,0.49885,0.6601,1,29,12,1,"2008-12-13 01:29:01",733755.0618,2008,
13,11.261,0.5184,0.55816,8.6762,0.50048,0.5813,2,9,12,1,"2008-12-13 02:09:01",733755.0896,2008,
13,11.7595,0.45926,0.57817,8.8748,0.71194,0.62578,2,49,12,1,"2008-12-13 02:49:01",733755.1174,2008,
13,12.0792,0.51893,0.49907,9.7281,0.47963,0.61901,3,29,12,1,"2008-12-13 03:29:01",733755.1452,2008,
13,12.5179,0.53911,0.51927,10.3444,0.52058,0.51888,4,9,12,1,"2008-12-13 04:09:01",733755.1729,2008,
13,13.1175,0.47974,0.61899,9.9071,0.48297,0.50282,4,49,12,1,"2008-12-13 04:49:01",733755.2007,2008,
13,13.5164,0.55932,0.57958,11.1409,0.64026,0.49916,5,29,12,1,"2008-12-13 05:29:01",733755.2285,2008,
13,13.7767,0.53974,0.45942,11.5002,0.47951,0.55941,6,9,12,1,"2008-12-13 06:09:01",733755.2563,2008,
13,14.3957,0.49934,0.59966,11.4797,0.59631,0.50941,6,49,12,1,"2008-12-13 06:49:01",733755.284,2008,
13,14.7159,0.45933,0.51972,12.1785,0.51927,0.82138,7,29,12,1,"2008-12-13 07:29:01",733755.3118,2008,
13,15.2953,0.47946,0.49924,NaN,NaN,NaN,8,9,12,1,"2008-12-13 08:09:01",733755.3396,2008,
13,15.774,0.53867,0.55933,13.0768,0.47212,0.53302,8,49,12,1,"2008-12-13 08:49:01",733755.3674,2008,
13,15.9146,0.47876,0.49936,13.2574,0.41867,0.83835,9,29,12,1,"2008-12-13 09:29:01",733755.3952,2008,
13,16.4728,0.45881,0.57847,13.0573,0.48476,0.68695,10,9,12,1,"2008-12-13 10:09:01",733755.4229,2008,
13,16.6527,0.53833,0.55838,NaN,NaN,NaN,10,49,12,1,"2008-12-13 10:49:01",733755.4507,2008,
13,16.9308,0.59739,0.53857,14.0356,0.5808,0.53989,11,29,12,1,"2008-12-13 11:29:01",733755.4785,2008,
13,17.5492,0.51747,0.45792,14.3963,0.47937,0.45993,12,9,12,1,"2008-12-13 12:09:01",733755.5063,2008,
13,18.7018,0.49606,0.69514,15.9142,0.57607,0.57692,12,49,12,1,"2008-12-13 12:49:01",733755.534,2008,
13,19.3762,0.85021,1.9268,15.2352,0.55865,0.83852,13,29,12,1,"2008-12-13 13:29:01",733755.5618,2008,
13,17.9668,1.231,0.61675,17.9931,0.4518,0.51332,14,9,12,1,"2008-12-13 14:09:01",733755.5896,2008,

